iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Feb 23, 2024"
Inception Date,"May 22, 2000"
Shares Outstanding,"1,394,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SWN","SOUTHWESTERN ENERGY","EQUITY","Energy","Equity","232,284,051.67","0.29","232,284,051.67","33,615,637.00","6.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AYI","ACUITY BRANDS INC","EQUITY","Industrials","Equity","231,212,376.00","0.29","231,212,376.00","944,495.00","244.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NNN","NNN REIT INC","EQUITY","Real Estate","Equity","230,957,280.12","0.29","230,957,280.12","5,567,919.00","41.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MKSI","MKS INSTRUMENTS INC","EQUITY","Information Technology","Equity","230,290,278.18","0.29","230,290,278.18","1,918,606.00","120.03","United States","NASDAQ","USD","1.00","USD","-"
"EHC","ENCOMPASS HEALTH CORP","EQUITY","Health Care","Equity","230,186,363.75","0.29","230,186,363.75","3,058,955.00","75.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RRC","RANGE RESOURCES CORP","EQUITY","Energy","Equity","229,475,327.20","0.29","229,475,327.20","7,364,420.00","31.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCTY","PAYLOCITY HOLDING CORP","EQUITY","Industrials","Equity","228,941,800.36","0.29","228,941,800.36","1,320,158.00","173.42","United States","NASDAQ","USD","1.00","USD","-"
"INGR","INGREDION INC","EQUITY","Consumer Staples","Equity","228,746,381.46","0.29","228,746,381.46","1,989,618.00","114.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORI","OLD REPUBLIC INTERNATIONAL CORP","EQUITY","Financials","Equity","228,709,729.86","0.29","228,709,729.86","7,957,889.00","28.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OLED","UNIVERSAL DISPLAY CORP","EQUITY","Information Technology","Equity","228,559,898.43","0.29","228,559,898.43","1,329,687.00","171.89","United States","NASDAQ","USD","1.00","USD","-"
"SAIC","SCIENCE APPLICATIONS INTERNATIONAL","EQUITY","Industrials","Equity","224,974,530.00","0.28","224,974,530.00","1,615,500.00","139.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
